objective,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,random_state,r2_fold,mse_fold,accuracy_fold,precision_fold,recall_fold,f1_fold,auc_fold,mse_test,r2_test,accuracy_test,precision_test,recall_test,f1_test,auc_test,mean_r2
reg:squarederror,91,0.1312119772729844,5,0.8727097963653698,0.8395066598583473,5,0.06086303346447657,42,0.3997551183527473,0.06246091051595449,0.7563150074294205,0.7444300730662436,0.7170474045474046,0.7297658867678725,0.8284268118697158,0.053291528175788756,0.484802876016161,0.7954545454545454,0.7872340425531915,0.7474747474747475,0.7668393782383419,0.87921455139086,0.3997551183527473
reg:squarederror,83,0.14271313339699818,5,0.8716264136013014,0.950441095723499,4,0.018300683520540574,42,0.3932497330051568,0.0631606739118939,0.7548291233283804,0.7390052415252725,0.7227316602316601,0.7295883624044633,0.8222081174347622,0.0517577716054896,0.49963050436457157,0.7878787878787878,0.775438596491228,0.7441077441077442,0.7594501718213058,0.8758475480238566,0.3932497330051568
reg:squarederror,144,0.08989267370545995,4,0.9580194152223132,0.9192334493343168,3,0.18017432904377437,42,0.41712748886433976,0.0606688191488336,0.7602773650321941,0.7549809436819367,0.7087623337623338,0.7304529404719435,0.832229759030639,0.05054398682398639,0.5113647977874032,0.7924242424242425,0.7941176470588235,0.7272727272727273,0.7592267135325131,0.8844552040144328,0.41712748886433976
reg:squarederror,91,0.13654044151469996,5,0.8263263676207323,0.9263249763745385,4,0.004907202552852353,42,0.3861589688820648,0.06391060009482538,0.7488855869242199,0.7348165303012357,0.7104247104247104,0.7218619889427343,0.817791366241177,0.053939357632926635,0.4785399692357719,0.7818181818181819,0.7722419928825622,0.7306397306397306,0.7508650519031141,0.8708016807190361,0.3861589688820648
reg:squarederror,106,0.055812258239478545,6,0.8418331731205915,0.8390923790378024,3,0.10158105137532925,42,0.41405599721415304,0.060980640055541546,0.7627538385339276,0.7497060786005326,0.725975975975976,0.7370608133491664,0.8355071189154889,0.050744409599759156,0.509427205806209,0.8045454545454546,0.7978723404255319,0.7575757575757576,0.7772020725388601,0.8860320375471892,0.41405599721415304
reg:squarederror,125,0.060050075163724397,4,0.8254736057176136,0.8361261772023723,1,0.005565469543018975,42,0.4220535062022697,0.06013860172264127,0.7617632491332342,0.7572349427633793,0.7093522093522093,0.7314269651258328,0.8358530530394339,0.05018021185227272,0.5148816010321136,0.803030303030303,0.7950530035335689,0.7575757575757576,0.7758620689655172,0.8842233167302038,0.4220535062022697
reg:squarederror,138,0.14136620475754658,4,0.8571235621567811,0.974326053426334,1,0.1505250945959142,42,0.3983189464047188,0.0626321554467017,0.7548291233283804,0.73983275376718,0.7212837837837838,0.7297519310792326,0.8237736008187765,0.05350897368676787,0.4827007163349806,0.7924242424242425,0.7816901408450704,0.7474747474747475,0.7641996557659209,0.8626856257710253,0.3983189464047188
reg:squarederror,138,0.14726129007322325,6,0.8018844831258461,0.8475915445860107,2,0.09964952059838017,42,0.3800476033460228,0.06450573942638486,0.7434373452204062,0.7254429221374314,0.7140712140712141,0.7183866543503227,0.8196742769865147,0.055248363421178906,0.4658851244514154,0.7878787878787878,0.7735191637630662,0.7474747474747475,0.7602739726027398,0.864049123002291,0.3800476033460228
reg:squarederror,127,0.14128307190896622,6,0.851769647914216,0.8423893690427569,4,0.15795905554104936,42,0.3820904774334652,0.06431625974649954,0.7424467558197128,0.7306190578591024,0.6971793221793222,0.7128427699450578,0.8153233601918756,0.05418601350751315,0.47615541766537006,0.7803030303030303,0.7714285714285715,0.7272727272727273,0.7487001733102253,0.8669987292576824,0.3820904774334652
reg:squarederror,88,0.1120768917668257,4,0.878448001062569,0.93737147099116,2,0.10481388493230435,42,0.40496767067329137,0.06196084103262687,0.7597820703318474,0.7483913519021118,0.7208279708279708,0.7334556622525383,0.8263367039779093,0.05186083516191681,0.49863413496634945,0.7863636363636364,0.761744966442953,0.7643097643097643,0.7630252100840336,0.8772017697637532,0.40496767067329137
reg:squarederror,113,0.05027541173376852,4,0.9284772386725951,0.8047549282746566,1,0.048014124583541526,42,0.4243765066019676,0.05992701471413401,0.7662209014363546,0.7560601243261204,0.7247157872157871,0.7394044320935116,0.8360625241508798,0.04950005170156406,0.5214570655663191,0.7954545454545454,0.7832167832167832,0.7542087542087542,0.7684391080617495,0.8907439871627199,0.4243765066019676
reg:squarederror,114,0.050398558815644964,4,0.9272197870208262,0.8020292651349324,1,0.04136369302556624,42,0.4314023964511824,0.05920779519892048,0.7677067855373947,0.7566532319025838,0.7293543543543545,0.7418783494599285,0.8403794093449267,0.04979033661321745,0.5186507292359664,0.7909090909090909,0.7829181494661922,0.7407407407407407,0.7612456747404844,0.8883230839153703,0.4314023964511824
reg:squarederror,108,0.07681541481238521,4,0.9375008927054539,0.8098008414083082,1,0.057385783233302484,42,0.426685785742655,0.05965110920417783,0.7627538385339276,0.7521720995388729,0.7217395967395968,0.7360794489163344,0.8381831930767775,0.050569044932906725,0.5111225479197385,0.7757575757575758,0.759581881533101,0.734006734006734,0.7465753424657534,0.8842789696784187,0.426685785742655
reg:squarederror,102,0.07577758744665226,4,0.995576055555011,0.8811199492633129,2,0.05521635259859491,42,0.42366659582764843,0.059972445006988305,0.7657256067360079,0.758715802844303,0.7178249678249679,0.7369366134419032,0.8351625335535088,0.05052614315934212,0.5115373018423768,0.7863636363636364,0.7785714285714286,0.734006734006734,0.755632582322357,0.8856053649442078,0.42366659582764843
reg:squarederror,120,0.072874515724929,5,0.9130211951866466,0.8031809942201853,1,0.07396594066219365,42,0.41937988549967137,0.0604474164209173,0.7597820703318474,0.7505339576331008,0.7156531531531533,0.732063736005388,0.8351977066739676,0.05143631241217353,0.5027382188089444,0.793939393939394,0.7948717948717948,0.7306397306397306,0.7614035087719299,0.8786672974000799,0.41937988549967137
reg:squarederror,103,0.0958158579706113,4,0.9476944572428581,0.8799218781922625,2,0.03280453422355854,42,0.4185238426958371,0.060501287009864846,0.7686973749380881,0.7625528404990205,0.7198090948090948,0.7398169071047027,0.8341153654005389,0.05157087573040175,0.5014373247096756,0.7833333333333333,0.7636986301369864,0.7508417508417509,0.7572156196943973,0.8815426997245179,0.4185238426958371
reg:squarederror,112,0.07144649318072069,5,0.9763709187229462,0.8157555090904697,1,0.07841292127061092,42,0.41210724472773336,0.061206394404471766,0.7592867756315007,0.7488628441965842,0.716108966108966,0.7315576744456055,0.8301340891576746,0.05249235016866834,0.492528948525499,0.793939393939394,0.7885304659498208,0.7407407407407407,0.7638888888888888,0.8809954457337379,0.41210724472773336
reg:squarederror,98,0.08480714932375064,4,0.9057510325689901,0.8762707552827417,2,0.030326030895022976,42,0.42008848989815606,0.06035095415550127,0.7607726597325408,0.7536326966029936,0.7116044616044617,0.7316400132034113,0.8347282904481309,0.050148114503430194,0.5151919029201852,0.7909090909090909,0.7731958762886598,0.7575757575757576,0.7653061224489796,0.8857444973147452,0.42008848989815606
reg:squarederror,129,0.11053299899051008,5,0.9366364477938632,0.8598103960400254,3,0.1269514715570732,42,0.3990618167136919,0.06253958183003118,0.7558197127290738,0.7460232298662582,0.7089500214500215,0.7266415204689199,0.8220209873169558,0.05184518727159344,0.49878541132052756,0.7893939393939394,0.7841726618705036,0.734006734006734,0.7582608695652174,0.8730277986476334,0.3990618167136919
reg:squarederror,116,0.05970134149329732,4,0.9747561065224875,0.9037479089969621,1,0.07630218488420351,42,0.4237457602513696,0.05998448578732696,0.7607726597325408,0.752736013679271,0.7143929643929644,0.7321386924980505,0.8358560871734922,0.05054979944848514,0.5113086041009569,0.7909090909090909,0.7829181494661922,0.7407407407407407,0.7612456747404844,0.8853271002031332,0.4237457602513696
reg:squarederror,107,0.0673290061445603,4,0.920362242284519,0.8219708677415193,3,0.03322600112452005,42,0.4334375828006895,0.05895467052024478,0.7612679544328875,0.7611553174394544,0.7016838266838267,0.7296373967044975,0.8411033081042291,0.05073595139327239,0.5095089757198372,0.7833333333333333,0.7789855072463768,0.7239057239057239,0.7504363001745201,0.8833699715242413,0.4334375828006895
reg:squarederror,109,0.06733028800576014,4,0.919427722271174,0.819452886098229,5,0.03577588831942537,42,0.4218646051748309,0.0601533369212702,0.7622585438335809,0.7510059814120255,0.7225975975975977,0.7361244676058921,0.8363398968062326,0.050571449252813115,0.5110993040995047,0.7833333333333333,0.7692307692307693,0.7407407407407407,0.7547169811320755,0.8821177801894056,0.4218646051748309
reg:squarederror,121,0.08125519144387747,4,0.8954796260320642,0.8226344115886208,3,0.0465796277862181,42,0.42092284570498256,0.06026489147804546,0.7617632491332342,0.7516077605785688,0.7194873444873444,0.7347415379554653,0.8332370550279586,0.04836318572079781,0.5324477446422464,0.7878787878787878,0.7773851590106007,0.7407407407407407,0.7586206896551724,0.8914025470499299,0.42092284570498256
reg:squarederror,98,0.06572078128125072,4,0.8941589666829652,0.8012947550961071,2,0.01550695972242553,42,0.4219699185889851,0.060166153599074824,0.7592867756315007,0.7484292641787897,0.7171010296010296,0.7316727855489248,0.8345620170737842,0.05101937987188839,0.506768924119958,0.7984848484848485,0.7971014492753623,0.7407407407407407,0.7678883071553229,0.8790661435289533,0.4219699185889851
